City	Library	(Collection + ) Call Number	Witness to text	Specific contents	Main language	Date AH	Date CE	Inferred date		Place	Copyist name	Data from	Ownership	Input (or confirmation) date 	
Alexandria	Maktabat al-Baladiyya	MS 4765 / D Falak	Rasāʾil ikhwān al-ṣafāʾ 	Single epistle (1.3)		911	1505					Catalogue			
Algiers	Bibliothèque nationale d’Algérie	Algiers Museum 1452		Single epistle?								ISMI Website			
Ankara 	Adnan Ötüken İl Halk Kütüphanesi 	06 Hk 1454	Mukhtaṣar Rasāʾil ikhwān al-ṣafāʾ	A mukhtasar of some rasail (54 folios)		1133	1720					Vidi (Scan)			
Ankara 	Adnan Ötüken İl Halk Kütüphanesi 	06 Hk 266		Persian translation		869	1464					Vidi (Scan)			
Ārāk 	K. Ibrahim Dehgān	MS 106	Mujmal al-ḥikmat	Full copy?		1370	1951				Muḥammad Bāqir.	Catalogue		May 2023	
Baghdad 	Baghdadli Wahbi 	Sh 2023		Extract in majmu'a								NLAI			
Baghdad 	Dār al-Kutub wa-l-wathāʾiq al-waṭaniyya 	1287/10462 (?)	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmu'a 	Arabic	1289	1872					Vidi (Scan)		March 2024	
Baghdad 	Kāẓimiyya Maktabāt al-Jawādīn al-ʿĀmma 	MS 5	Rasāʾil fī ikhwān al-ṣafā	by Kāẓim al-Rashtī (d. 1843)		1237	1822					NLAI			
Baku	Academy of Sciences Azerbaijān	6086 B (25605)	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmu'a		1304	1886					Aghabozorg.ir			
Beirut 	American University of Beirut Library	MS 140455	Rasāʾil ikhwān al-ṣafāʾ 	Partial ("some rasa'il")								Furqan			
Beirut 	Université St. Joseph	MS 381	Rasāʾil ikhwān al-ṣafāʾ 	Partial (45 epistles)				11th/17th C				Vidi (Scan)			
Beirut 	Université St. Joseph	MS 382	Rasāʾil ikhwān al-ṣafāʾ 	Partial (46 epistles)		1222	1808			Mi'ilya		Vidi (Scan)			
Beirut 	Université St. Joseph	MS 383	Rasāʾil ikhwān al-ṣafāʾ 	Partial (5 epistles of qism 2)				11th/17th C				Vidi (Scan)			
Berlin 	Staatsbibliothek zu Berlin	Diez A oct. 132	Mujmal al-ḥikmat 	Mujmal al-ḥikmat (Persian)		608	1211			Siwas	Ḥusain Ibn-Muḥammad Ibn-Yaʿqūb at-Turkmān	Vidi (Scan)			
Berlin 	Staatsbibliothek zu Berlin	Glaser 7	Rasāʾil ikhwān al-ṣafāʾ 	Partial (mainly 2.3 & 2.4)								Vidi (Scan)			
Berlin 	Staatsbibliothek zu Berlin	Petermann II 361	Rasāʾil ikhwān al-ṣafāʾ 	Epistle 2.8		1227	1812			Calcutta		Catalogue			
Berlin 	Staatsbibliothek zu Berlin	Sprenger 1141	Rasāʾil ikhwān al-ṣafāʾ 	Brief extract in majmū’a from 1.3								Catalogue			
Berlin 	Staatsbibliothek zu Berlin	Sprenger 1946	Rasāʾil ikhwān al-ṣafāʾ 	Partial (2.8, 2.16 & 2.17)				ca. 1100/1688				Catalogue			
Berlin 	Staatsbibliothek zu Berlin	Sprenger 1948/1 	Mujmal al-ḥikmat 	Mujmal al-ḥikmat (Persian) in majmu'a		1050	1640				Qāsim b. Ḥasan Kīlānī	Catalogue			
Berlin 	Staatsbibliothek zu Berlin	Wetzstein 1153	Rasāʾil ikhwān al-ṣafāʾ 	Single epistle in majmu'a (Risala 1.3)				12th/18th C				Catalogue			
Berlin 	Staatsbibliothek zu Berlin	Wetzstein 1219	Rasāʾil ikhwān al-ṣafāʾ 	Single epistle in majmu'a (Risala 51 (magic))								Catalogue		June 2023	
Berlin 	Staatsbibliothek zu Berlin	Wetzstein 1889 	Rasāʾil ikhwān al-ṣafāʾ 	Partial (3.1-3.10 & 4.1)		717	1318			Tabriz?	Abū al-Ẓaffa[r?] Muḥammad b. al-Ashraf b. Muḥammad al-Ḥusaynī al-Nassāba	Catalogue			
Berlin 	Staatsbibliothek zu Berlin	Wetzstein 673 	Rasāʾil ikhwān al-ṣafāʾ 	Single epistle (Risāla 2.8 (animals))				ca. 900/1404				Catalogue			
Berlin 	Staatsbibliothek zu Berlin	Wetzstein II 1176 (5038)	Rasāʾil ikhwān al-ṣafāʾ 	Partial (2.5 - 2.9)				5th/12th C				Non vidi (Institute of Ismaili Studies) / Catalogue			
Berlin 	Staatsbibliothek zu Berlin	Wetzstein II 1834	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmūʿa 		1200	1786					Vidi (Scan)			
Birmingham 	Cadbury Research Library 	Mingana 821 (180 B-F) 	Rasāʾil ikhwān al-ṣafāʾ 	Five short extracts (astrological)								Catalogue			
Birmingham 	Cadbury Research Library 	Mingana 822 (711)	Rasāʾil ikhwān al-ṣafāʾ 	Partial 				13th/19th C				Catalogue			
Bonn	Universitäts- und Landesbibliothek Bonn	Sp 15	Rasāʾil ikhwān al-ṣafāʾ 	Single epistle (Animals) / However, 752 pages?		1225	1810			Calcutta	Sayyid Shāh ʿAbd al-ʿAzīz Qalandar Bukhārī	Qalamos			
Bursa	Inebey Kütüphanesi	H. Celebi 419 		Partial copy (?  needs closer study)								Vidi (Scan)			
Bursa 	Inebey Kütüphanesi	Haracci 916	Rasāʾil ikhwān al-ṣafāʾ 	Partial (qism 1 and most of qism 2)								Vidi (Scan)			
Bursa 	Inebey Kütüphanesi	Haracci 917	Risālat al-Jāmiʿa 	Partial (vol 2 only)		737/1336						Vidi (Scan)			
Cairo 	al-Azhar Library	7246 Abāẓa (437)	Rasāʾil ikhwān al-ṣafāʾ 	Full		1283/1866-7				Cairo?	Jalā (?) al-Sharqāwī 	Catalogue			
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	MS 143 (?)	Risālat al-Jāmiʿa	Full copy?								Non vidi (Kacimi)			
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Riyāḍa 301	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmūʿa (rasāʾil 1 & 4)								Non vidi (King)			
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Hayʾa 10	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmūʿa 		1163/1749				Maghreb?		ISMI Website		april 2024	
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Hayʾa 43		Single risāla (Hayʾa)		1237/1821						ISMI Website		april 2024	
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Hayʾa 49		Photocopy of single risāla (Hayʾa) from British Library Add. 9599								ISMI Website		april 2024	
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Ḥikmat Taymūr 143	Rasāʾil ikhwān al-ṣafāʾ 	Fulll? 								Non vidi (MALECSO)			
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Khidiwiyya 9509	Rasāʾil ikhwān al-ṣafāʾ 	Full?		1279/1862						Catalogue			
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Khidiwiyya 9510	Rasāʾil ikhwān al-ṣafāʾ 	Fragment of risāla 14								Catalogue			
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Khidiwiyya 9875	Rasāʾil ikhwān al-ṣafāʾ 	Partial (27 rasāʾil)								Catalogue			
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Majāmīʿ Taymūr 14/2	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmūʿa (risala on music)								Saramusik			
