library	city	latitude	longitude
Maktabat al-Baladiyya	Alexandria	31.19535371	29.91388131
Bibliothèque nationale d’Algérie	Algiers	36.7483368	3.071864
Adnan Ötüken İl Halk Kütüphanesi	Ankara	39.919609	32.85076
K. Ibrahim Dehgān	Arak	34.10292754	49.73140963
Baghdadli Wahbi	Baghdad	33.315241	44.3660671
Dār al-Kutub wa-l-wathāʾiq al-waṭaniyya	Baghdad	33.34669387	44.38432395
Kāẓimiyya Maktabāt al-Jawādīn al-ʿĀmma	Baghdad	33.37871315	44.35080723
Academy of Sciences Azerbaijān	Baku	40.37318581	49.81432281
American University of Beirut Library	Beirut	33.90069076	35.48236312
Université St. Joseph	Beirut	33.891593	35.508674
Staatsbibliothek zu Berlin	Berlin	52.51783347	13.39182576
Cadbury Research Library	Birmingham	52.45178256	-1.929257266
Universitäts- und Landesbibliothek	Bonn	50.7315098	7.1089708
Inebey Kütüphanesi	Bursa	40.18267073	29.06097472
Inebey Kütüphanesi	Bursa	40.18267073	29.06097472
Al-Azhar Library	Cairo	30.04612902	31.26985772
Dār al-kutub wa-l-wathāʾiq al-qawmiyya	Cairo	30.0671659	31.2271838
Asiatic Society	Calcutta	22.5550876	88.3506739
Buhar Library	Calcutta	22.53496896	88.33385763
Buhar Library	Calcutta	22.53496896	88.33385763
Cambridge University Library	Cambridge	52.2051088	0.1077233
King’s College Library	Cambridge	52.2043356	0.117285
Royal Danish Library	Copenhagen	55.67342841	12.58268145
Maktabat al-Asadiyya al-Waṭaniyya	Damascus	33.51475488	36.27750501
Barounia	Djerba	33.88411896	10.85580134
Chester Beatty Library	Dublin	53.3422356	-6.2672762
Library of the Academy of Sciences of Rep. of Tajikistan	Dushanbe	38.56979155	68.79048906
Selimiye Yazma Eser Kütüphanesi	Edirne	41.67823006	26.55922086
Eton College Library	Eton	51.4921747	-0.6098582
Forschungsbibliothek	Gotha	50.9452692	10.7045879
Madrasa-yi Gharb	Hamadan	34.7983275	48.5148102
Majmūʿe Ḥājī Ezadī	Hamadan	34.7915249	48.52305104
Oriental Manuscripts Library and Research Center (OMLRI)	Hyderabad	17.42156349	78.52562858
Salar Jung Museum	Hyderabad	17.3716084	78.4802439
State Central Library (Asafia)	Hyderabad	17.3741843	78.4782201
Dīwān-i Hind (?)	India?	20.593684	78.96288
K. Alfat-i Iṣfahānī	Isfahan	32.6538966	51.6659656
K. Markazī Dānishgāh-i Iṣfahān	Isfahan	32.60963267	51.65934021
Beyazit Kütüphanesi	Istanbul	41.01119661	28.96540757
İstanbul Üniversitesi Merkez Kütüphanesi	Istanbul	41.0098056	28.9621273
Köprülü	Istanbul	41.00818415	28.97251006
