City	Library	(Collection + ) Call Number	Witness to text	Specific contents	Main language	Date AH	Date CE	Inferred date		Place	Copyist name	Ownership	Catalogue reference	Digital resource	Alternative data source	Scan available
Alexandria	Maktabat al-Baladiyya	4765 / D Falak	Rasāʾil ikhwān al-ṣafāʾ 	Single epistle (1.3)		911	1505						Zeidan & Zahran, Catalogue of Manuscripts in the Municipal Library of Alexandria, pp. 206-7	https://digitallibrary.al-furqan.com/our_is_item/manid/1436038/groupid/0		
Algiers	Bibliothèque nationale d’Algérie	Algiers Museum 1452		Single epistle?										https://ismi.mpiwg-berlin.mpg.de/witness/122552 		
Ankara 	Adnan Ötüken İl Halk Kütüphanesi 	06 Hk 1454	Mukhtaṣar Rasāʾil ikhwān al-ṣafāʾ	An abridgement of Rasāʾil ikhwān al-ṣafāʾ (54 folios)	Arabic	1133	1720							https://portal.yek.gov.tr/works/detail/584934		Yes
Ankara 	Adnan Ötüken İl Halk Kütüphanesi 	06 Hk 266		Persian translation		869	1464							https://portal.yek.gov.tr/works/detail/586995		Yes
Arak	K. Ibrahim Dehgān	106	Mujmal al-ḥikma	Full copy?		1370	1951				Muḥammad Bāqir.		Fehrestegan 28:319-20, no. 58			
Baghdad 	Baghdadli Wahbi 	Sh 2023		Extract in majmūʿa											NLAI	
Baghdad 	Dār al-Kutub wa-l-wathāʾiq al-waṭaniyya 	1287/10462 (?)	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmūʿa 	Arabic	1289	1872								Vidi (Scan)	
Baghdad 	Kāẓimiyya Maktabāt al-Jawādīn al-ʿĀmma 	5	Rasāʾil fī ikhwān al-ṣafā	by Kāẓim al-Rashtī (d. 1843)		1237	1822								NLAI	
Baku	Academy of Sciences Azerbaijān	6086 B (25605)	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmūʿa		1304	1886								Aghabozorg.ir	
Beirut 	American University of Beirut Library	140455	Rasāʾil ikhwān al-ṣafāʾ 	Partial ("some rasa'il")										https://digitallibrary.al-furqan.com/our_is_item/manid/1269108/groupid/0		
Beirut 	Université St. Joseph	381	Rasāʾil ikhwān al-ṣafāʾ 	Partial (45 epistles)				11th/17th C						https://w3id.org/vhmml/readingRoom/view/504792 		Yes
Beirut 	Université St. Joseph	382	Rasāʾil ikhwān al-ṣafāʾ 	Partial (46 epistles)		1222	1808			Mi'ilya				https://w3id.org/vhmml/readingRoom/view/504793 		Yes
Beirut 	Université St. Joseph	383	Rasāʾil ikhwān al-ṣafāʾ 	Partial (5 epistles of qism 2)				11th/17th C						https://w3id.org/vhmml/readingRoom/view/504794		Yes
Berlin 	Staatsbibliothek zu Berlin	Diez A oct. 132	Mujmal al-ḥikma 	Mujmal al-ḥikma (Persian)		608	1211			Siwas	Ḥusain Ibn-Muḥammad Ibn-Yaʿqūb at-Turkmān		Pertsch Persisch 90	https://www.qalamos.net/receive/DE1Book_manuscript_00003391		
Berlin 	Staatsbibliothek zu Berlin	Glaser 7	Rasāʾil ikhwān al-ṣafāʾ 	Partial (mainly 2.3 & 2.4)									Ahlwardt, Handschriften-verzeichnisse der Königlichen Bibliothek zu Berlin, Band 4, p. 379, no. 5037	https://www.qalamos.net/receive/DE1Book_manuscript_00006421		
Berlin 	Staatsbibliothek zu Berlin	Petermann II 361	Rasāʾil ikhwān al-ṣafāʾ 	Epistle 2.8		1227	1812			Calcutta			Ahlwardt, Handschriften-verzeichnisse der Königlichen Bibliothek zu Berlin, Band 4, p. …, no. 5040	https://www.qalamos.net/receive/DE1Book_manuscript_00024749		
Berlin 	Staatsbibliothek zu Berlin	Sprenger 1141	Rasāʾil ikhwān al-ṣafāʾ 	Brief extract in majmū’a from 1.3									Ahlwardt, Handschriften-verzeichnisse der Königlichen Bibliothek zu Berlin, Band 4, … 5036	https://www.qalamos.net/receive/DE1Book_manuscript_00013358		
Berlin 	Staatsbibliothek zu Berlin	Sprenger 1946	Rasāʾil ikhwān al-ṣafāʾ 	Partial (2.8, 2.16 & 2.17)				12th/17th C					Ahlwardt, Handschriften-verzeichnisse der Königlichen Bibliothek zu Berlin, Band 4, p. 380, no. 5039	https://www.qalamos.net/receive/DE1Book_manuscript_00024749		
Berlin 	Staatsbibliothek zu Berlin	Sprenger 1948/1 	Mujmal al-ḥikma 	Mujmal al-ḥikma (Persian) in majmūʿa		1050	1640				Qāsim b. Ḥasan Kīlānī		Pertsch Persisch 91	https://www.qalamos.net/receive/DE1Book_manuscript_00014272		
Berlin 	Staatsbibliothek zu Berlin	Wetzstein II 1153/2	Rasāʾil ikhwān al-ṣafāʾ 	Single epistle in majmūʿa (Risala 1.3)				12th/18th C					Ahlwardt, Handschriften-verzeichnisse der Königlichen Bibliothek zu Berlin, Band 4, 378-9, no. 5036	https://www.qalamos.net/receive/DE1Book_manuscript_00070080		
Berlin 	Staatsbibliothek zu Berlin	Wetzstein II 1176	Rasāʾil ikhwān al-ṣafāʾ 	Partial (2.5 - 2.9)				5th/12th C					Ahlwardt, Handschriften-verzeichnisse der Königlichen Bibliothek zu Berlin, Band 4, 379, no. 5038	https://www.qalamos.net/receive/DE1Book_manuscript_00023602		
Berlin 	Staatsbibliothek zu Berlin	Wetzstein II 1219	Rasāʾil ikhwān al-ṣafāʾ 	Single epistle in majmūʿa (Risala 51 (magic))									Ahlwardt, Handschriften-verzeichnisse der Königlichen Bibliothek zu Berlin, Band 4, pp. 381-2.	https://www.qalamos.net/receive/DE1Book_manuscript_00023645		
Berlin 	Staatsbibliothek zu Berlin	Wetzstein II 1834	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmūʿa 		1200	1786						Ahlwardt, Handschriften-verzeichnisse der Königlichen Bibliothek zu Berlin, Band 4, p. ..., no. 5036	https://www.qalamos.net/receive/DE1Book_manuscript_00024260		
Berlin 	Staatsbibliothek zu Berlin	Wetzstein II 1889 	Rasāʾil ikhwān al-ṣafāʾ 	Partial (3.1-3.10 & 4.1)		717	1318			Tabriz?	Abū al-Ẓaffa[r?] Muḥammad b. al-Ashraf b. Muḥammad al-Ḥusaynī al-Nassāba		Ahlwardt, Handschriften-verzeichnisse der Königlichen Bibliothek zu Berlin, Band 4, p. 381	https://www.qalamos.net/receive/DE1Book_manuscript_00024315		
Berlin 	Staatsbibliothek zu Berlin	Wetzstein II 673 	Rasāʾil ikhwān al-ṣafāʾ 	Single epistle (Risāla 2.8 (animals))				10th/15th C					Ahlwardt, Handschriften-verzeichnisse der Königlichen Bibliothek zu Berlin, Band 4, p. ..., no. 5040	https://www.qalamos.net/receive/DE1Book_manuscript_00023099		
Birmingham 	Cadbury Research Library 	Mingana 821 (180 B-F) 	Rasāʾil ikhwān al-ṣafāʾ 	Five short extracts (astrological)											Catalogue	
Birmingham 	Cadbury Research Library 	Mingana 822 (711)	Rasāʾil ikhwān al-ṣafāʾ 	Partial 				13th/19th C							Catalogue	
Bonn	Universitäts- und Landesbibliothek	So 15	Rasāʾil ikhwān al-ṣafāʾ 	Single epistle (Animals) / However, 752 pages?		1225	1810			Calcutta	Sayyid Shāh ʿAbd al-ʿAzīz Qalandar Bukhārī		https://digitale-sammlungen.ulb.uni-bonn.de/content/pageview/6762890	https://www.qalamos.net/receive/DE5Book_manuscript_00000015		
Bursa	Inebey Kütüphanesi	H. Celebi 419 		Partial copy (? needs closer study)											Vidi (Scan)	
Bursa 	Inebey Kütüphanesi	Haracci 916	Rasāʾil ikhwān al-ṣafāʾ 	Partial (qism 1 and most of qism 2)										https://portal.yek.gov.tr/works/detail/33902		
Bursa 	Inebey Kütüphanesi	Haracci 917	Risālat al-Jāmiʿa 	Partial (vol 2 only)		737	1336							https://portal.yek.gov.tr/works/detail/33924		Yes
Cairo 	Al-Azhar Library	7246 Abāẓa (437)	Rasāʾil ikhwān al-ṣafāʾ 	Full		1283	1866			Cairo?	Jalā (?) al-Sharqāwī 		Fahāris vol. 3 - Falsafa			
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	143 (?)	Risālat al-Jāmiʿa	Full copy?									Non vidi (Kacimi)			
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Hayʾa 10	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmūʿa 		1163	1749			Maghreb?				https://ismi.mpiwg-berlin.mpg.de/witness/466861		
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Hayʾa 43		Single risāla (Hayʾa)		1237	1821							https://ismi.mpiwg-berlin.mpg.de/witness/468823		
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Hayʾa 49		Photocopy of single risāla (Hayʾa) from British Library Add. 9599										https://ismi.mpiwg-berlin.mpg.de/witness/468951		
